Edad,Rol,Zona,Tipo de siniestro,Dia de la semana,Hora,Tipo de Vehiculo,X,Y,Dia,Mes,isMale,isHeridoLeve
37.0, PASAJERO,URBANA, COLISION ENTRE VEHICULOS, SABADO,8,AUTO,572280,6148440,1,1,True,True
45.0, CONDUCTOR,URBANA, COLISION ENTRE VEHICULOS, SABADO,8,AUTO,572280,6148440,1,1,True,True
69.0, CONDUCTOR,URBANA, CAIDA, SABADO,16,MOTO CON CASCO,571120,6145960,1,1,True,True
31.0, CONDUCTOR,URBANA, COLISION ENTRE VEHICULOS, SABADO,23,AUTO,581650,6149845,1,1,True,True
19.0, CONDUCTOR,URBANA, COLISION ENTRE VEHICULOS, SABADO,5,MOTO,577450,6139860,1,1,True,True
29.0, CONDUCTOR,URBANA, COLISION ENTRE VEHICULOS, SABADO,5,MOTO CON CASCO,577450,6139860,1,1,True,True
39.0, CONDUCTOR,URBANA, COLISION ENTRE VEHICULOS, SABADO,19,MOTO CON CASCO,579040,6149800,1,1,False,True
23.0, CONDUCTOR,URBANA, CAIDA, SABADO,20,BICICLETA,562970,6147015,1,1,True,True
22.0, CONDUCTOR,URBANA, CAIDA, SABADO,23,MOTO,575515,6144930,1,1,True,True
30.0, CONDUCTOR,URBANA, COLISION ENTRE VEHICULOS, SABADO,23,BICICLETA,581650,6149845,1,1,True,True
19.0, PASAJERO,URBANA, COLISION CON OBSTI�CULO EN CALZADA, DOMINGO,0,AUTO,575895,6135685,2,1,False,False
43.0, PASAJERO,URBANA, COLISION CON OBSTI�CULO EN CALZADA, DOMINGO,0,AUTO,575895,6135685,2,1,False,False
45.0, CONDUCTOR,URBANA, COLISION CON OBSTI�CULO EN CALZADA, DOMINGO,0,AUTO,575895,6135685,2,1,True,True
11.0, PEATON,URBANA, COLISION ENTRE VEHICULOS, DOMINGO,14,MOTO,580790,6144675,2,1,False,True
20.0, CONDUCTOR,URBANA, COLISION ENTRE VEHICULOS, DOMINGO,16,MOTO,571910,6142030,2,1,True,True
50.0, CONDUCTOR,URBANA, COLISION ENTRE VEHICULOS, DOMINGO,18,MOTO,584245,6140980,2,1,True,False
19.0, CONDUCTOR,URBANA, CAIDA, DOMINGO,22,MOTO CON CASCO,567245,6139265,2,1,True,True
33.0, CONDUCTOR,URBANA, COLISION ENTRE VEHICULOS, DOMINGO,21,MOTO CON CASCO,580480,6141240,2,1,True,True
28.0, CONDUCTOR,URBANA, COLISION ENTRE VEHICULOS, DOMINGO,23,AUTO,575040,6141855,2,1,True,True
28.0, CONDUCTOR,URBANA, COLISION ENTRE VEHICULOS, DOMINGO,19,MOTO CON CASCO,577185,6134960,2,1,True,True
65.0, CONDUCTOR,URBANA, COLISION ENTRE VEHICULOS, DOMINGO,14,MOTO CON CASCO,580790,6144675,2,1,False,True
22.0, PASAJERO,URBANA, COLISION ENTRE VEHICULOS, DOMINGO,18,MOTO CON CASCO,584245,6140980,2,1,True,False
12.0, PASAJERO,URBANA, COLISION ENTRE VEHICULOS, DOMINGO,19,MOTO CON CASCO,577840,6144595,2,1,False,True
9.0, PASAJERO,URBANA, COLISION ENTRE VEHICULOS, DOMINGO,19,MOTO CON CASCO,577840,6144595,2,1,True,True
34.0, CONDUCTOR,URBANA, COLISION ENTRE VEHICULOS, DOMINGO,19,MOTO CON CASCO,577840,6144595,2,1,True,True
35.0, CONDUCTOR,URBANA, COLISION ENTRE VEHICULOS, DOMINGO,20,MOTO CON CASCO,573460,6142485,2,1,True,True
17.0, CONDUCTOR,URBANA, COLISION ENTRE VEHICULOS, DOMINGO,20,MOTO,573460,6142485,2,1,True,True
19.0, CONDUCTOR,SUBURBANA, COLISION ENTRE VEHICULOS, DOMINGO,21,MOTO CON CASCO,570390,6145595,2,1,True,True
64.0, CONDUCTOR,URBANA, COLISION ENTRE VEHICULOS, DOMINGO,19,AUTO,575955,6141075,2,1,False,True
44.0, CONDUCTOR,SUBURBANA, COLISION ENTRE VEHICULOS, LUNES,6,BICICLETA,559055,6150190,3,1,True,True
49.0, CONDUCTOR,SUBURBANA, COLISION ENTRE VEHICULOS, LUNES,6,MOTO CON CASCO,559055,6150190,3,1,True,True
28.0, CONDUCTOR,SUBURBANA, COLISION ENTRE VEHICULOS, LUNES,14,MOTO,571195,6148070,3,1,True,True
26.0, PEATON,URBANA, CAIDA, LUNES,23,MOTO,571145,6148225,3,1,True,True
41.0, CONDUCTOR,URBANA, COLISION ENTRE VEHICULOS, LUNES,3,AUTO,576765,6143035,3,1,True,True
34.0, CONDUCTOR,URBANA, CAIDA, LUNES,6,MOTO,574250,6144845,3,1,True,True
49.0, CONDUCTOR,URBANA, COLISION ENTRE VEHICULOS, LUNES,16,BICICLETA,578380,6146405,3,1,False,True
31.0, CONDUCTOR,URBANA, DESPISTE, LUNES,20,AUTO,560000,6146765,3,1,True,False
25.0, CONDUCTOR,URBANA, COLISION ENTRE VEHICULOS, MARTES,13,MOTO CON CASCO,574560,6137310,4,1,True,True
73.0, CONDUCTOR,URBANA, COLISION ENTRE VEHICULOS, MARTES,17,MOTO CON CASCO,567515,6140590,4,1,True,True
54.0, PEATON,URBANA, COLISION ENTRE VEHICULOS, MARTES,17,MOTO,573855,6138615,4,1,True,True
57.0, CONDUCTOR,URBANA, COLISION ENTRE VEHICULOS, MARTES,17,AUTO,573855,6138615,4,1,True,True
27.0, PASAJERO,SUBURBANA, COLISION ENTRE VEHICULOS, MARTES,20,AUTO,580470,6139290,4,1,True,True
53.0, CONDUCTOR,URBANA, COLISION ENTRE VEHICULOS, MARTES,21,AUTO,579430,6144690,4,1,True,True
24.0, PEATON,URBANA, ATROPELLO DE PEATON, MARTES,17,MOTO,575090,6138055,4,1,False,True
22.0, CONDUCTOR,URBANA, COLISION ENTRE VEHICULOS, MARTES,17,MOTO CON CASCO,574370,6140245,4,1,False,True
22.0, PEATON,URBANA, COLISION ENTRE VEHICULOS, MARTES,17,MOTO,573855,6138615,4,1,False,True
